pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,match_quality,confidence,match_notes
FIAMA-BODYWASH-HYD-AUTO001,Hyderabad,Fiama,Body Wash,Fiama Women Shower Gel Peach & Avocado,Fiama Men Refreshing Shower Gel,100,100,Blinkit,2026-03-19,719,99,INR,0,0,3,MED,source=blinkit_raw.csv
FIAMA-BODYWASH-HYD-AUTO001,Hyderabad,Fiama,Body Wash,Fiama Women Shower Gel Peach & Avocado,Fiama Men Refreshing Shower Gel,100,100,Flipkart,2026-03-18,160,461,INR,0,0,3,HIGH,source=flipkart_raw.csv
FOGG-DEODORAN-HYD-AUTO001,Hyderabad,Fogg,Deodorant Roll-On,Fogg Miss Dew Roll-On Women,Fogg Master Roll-On Men,100,100,Amazon.in,2026-03-09,195,299,INR,1,1,3,HIGH,source=amazon_in_raw.csv
FOGG-DEODORAN-HYD-AUTO001,Hyderabad,Fogg,Deodorant Roll-On,Fogg Miss Dew Roll-On Women,Fogg Master Roll-On Men,100,100,Blinkit,2026-03-19,487,493,INR,0,0,3,MED,source=blinkit_raw.csv
FOGG-DEODORAN-HYD-AUTO001,Hyderabad,Fogg,Deodorant Roll-On,Fogg Miss Dew Roll-On Women,Fogg Master Roll-On Men,100,100,Flipkart,2026-03-18,283,256,INR,0,0,3,HIGH,source=flipkart_raw.csv
FOGG-DEODORAN-HYD-AUTO002,Hyderabad,Fogg,Deodorant Spray,Fogg Royal Women Body Spray 150ml,Fogg Macho Men Body Spray 150ml,150,150,Amazon.in,2026-03-09,443,239,INR,1,1,3,HIGH,source=amazon_in_raw.csv
FOGG-DEODORAN-HYD-AUTO002,Hyderabad,Fogg,Deodorant Spray,Fogg Royal Women Body Spray 150ml,Fogg Macho Men Body Spray 150ml,150,150,Blinkit,2026-03-19,211,210,INR,0,0,3,MED,source=blinkit_raw.csv
FOGG-DEODORAN-HYD-AUTO002,Hyderabad,Fogg,Deodorant Spray,Fogg Royal Women Body Spray 150ml,Fogg Macho Men Body Spray 150ml,150,150,Flipkart,2026-03-18,182,167,INR,0,0,3,HIGH,source=flipkart_raw.csv
GARNIER-HAIRCOLO-HYD-AUTO001,Hyderabad,Garnier,Hair Colour,Garnier Color Naturals Hair Colour Cream Women,Garnier Men Power Black Shampoo Hair Colour,100,100,Amazon.in,2026-03-09,94,140,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GARNIER-HAIRCOLO-HYD-AUTO001,Hyderabad,Garnier,Hair Colour,Garnier Color Naturals Hair Colour Cream Women,Garnier Men Power Black Shampoo Hair Colour,100,100,Blinkit,2026-03-19,248,99,INR,0,0,3,MED,source=blinkit_raw.csv
